product_code,color_value
1904184181,더스트핑크
1905185231,아이콘
1905185231,트루스
1905185231,스트라이크
1905185231,캔버스
1905185231,차일드
1905185231,앤첸트
1905185231,프로스
1905185231,서브라임
1905185231,피버
1905185231,임팩트
1905185231,프로보크
1905185737,로즈 골드
1905186134,내추럴
1905186135,내추럴
1905186136,내추럴
1905186137,내추럴
1905186138,내추럴
1905186139,내추럴
1905186140,내추럴
1905186141,내추럴
1905186151,그레이
1905186249,화이트
1905186250,화이트
1905186334,블랙
1905186336,블랙
1905186389,블루
1905186508,오프 화이트
1905186508,인디고
1905186508,오트밀
1905187260,화이트
1905187642,차콜 그레이
1905189047,블랙
1905189048,블루
1905189165,블랙
1906189908,블루
1906189911,그린
1906189914,스카이블루
1906189915,옐로우
1906189917,오렌지
1906189938,라이트 그레이
1906189939,실버
1906189940,실버
1906190203,로즈 골드
1906190204,로즈 골드
1906190222,로즈 골드
1906190255,화이트
1906190274,투명
1906190275,투명
1906190282,화이트
1906190283,실버
1906190805,투명
1906190807,투명
1906190808,투명
1906190811,투명
1906190812,투명
1906190849,화이트
1906190974,기타
1906191070,그레이
1906191170,기타
1906192727,블랙
1906192863,화이트
1906192864,화이트
1906194283,화이트
1906194463,실버
1906194488,로즈 골드
1906194507,그레이
1906194508,골드
1906194646,화이트
1907195785,블랙
1907196154,다크 그린
1907196476,베이지
1907196977,더스트핑크
1907198339,플래티넘 블론드
1907198339,블론드
1907198339,웜블론드
1907198339,오번
1907198339,소프트브루넷
1907198339,웜브루넷
1907198339,다크 브루넷
1907198339,애쉬
1907198339,내츄럴 블랙
1907199923,투명
1907200967,실버
1907200968,투명
1907200969,투명
1907200970,투명
1907200971,투명
1907201506,브라운
1907201508,그레이
1907202654,로즈 골드
1907202655,로즈 골드
1907202656,로즈 골드
1907202657,실버
1907202658,로즈 골드
1907202659,골드
1907202784,로즈 골드
1907202785,실버
1907202786,로즈 골드
1907202789,로즈 골드
1907202792,로즈 골드
1907202796,로즈 골드
1908204586,아이보리
1908205047,라이트 오렌지
1908208906,기타
1908208907,화이트
1908208938,투명
1908208939,투명
1909209556,기타
1909210170,다크그레이
1909211473,카키
1909212148,투명
1909214846,블랙
1910215118,다크 그린
1910215119,골드
1910215143,실버
1910215158,골드
1910215159,골드
1910215173,골드
1910215198,피치
1910215199,골드
1910215200,실버
1910216740,블랙
1910222205,챠콜
1911222633,샌드
1911223147,골드
1911223741,투명
1911223748,화이트
1911223888,화이트
1911223951,투명
1911223952,투명
1911223967,화이트
1911224103,투명
1911224674,골드
1911224675,실버
1911224676,실버
1911224721,핑크
1911224723,실버
1911224761,골드
1911224803,실버
1911224804,핑크
1912229072,아이보리
1912229126,블랙
1912229611,라이트 그레이
1912229612,블루
1912229623,다크 그린
1912229627,블루
1912229628,라이트 그레이
1912230235,화이트
1912231441,화이트
1912231444,화이트
1912233635,버치
1912233635,크렘
1912233635,코튼
1912233635,실크
1912233635,오트
1912233635,펄
1912233635,파운
1912233635,세피아
1912233635,애프리콧
1912233635,비치
1912233635,시에나
1912233635,시더
1912233663,NONE
2001237344,그레이
2001238376,실버
2001238377,로즈 골드
2001238608,멀티
2001239271,라이트 그린
2001239272,라이트 그린
2001242346,브라운
2001242630,블랙
2001242630,베이지
2001242644,블랙
2001242644,네이비
2001242687,블랙
2001242687,아이보리
2001242863,아이보리
2001242866,아이보리
2001243122,네이비
2001243127,블루
2001243304,아이보리
2001243304,블랙
2001243306,블루
2001243361,아이보리
2001243363,아이보리
2001243363,블랙
2002245277,골드
2002245318,골드
2002245810,기타
2002246475,화이트
2002247515,골드
2002247517,골드
2002247519,골드
2002247521,골드
2002247524,골드
2002247525,골드
2002248042,실버
2002248043,실버
2002248534,투명
2002248536,베쥬 나뛰렐 11
