product_code,promotion_code,promotion_name
01P0000171606,2408144162,풍성한 추석 음식 이야기
01P0000171676,2408144162,풍성한 추석 음식 이야기
01P0000171698,2408144162,풍성한 추석 음식 이야기
01P0000171702,2408144162,풍성한 추석 음식 이야기
01P0000171703,2408144162,풍성한 추석 음식 이야기
01P0000171711,2408144162,풍성한 추석 음식 이야기
01P0000171712,2408144162,풍성한 추석 음식 이야기
01P0000171719,2408144162,풍성한 추석 음식 이야기
01P0000171721,2408144162,풍성한 추석 음식 이야기
01P0000171738,2408144162,풍성한 추석 음식 이야기
01P0000171739,2408144162,풍성한 추석 음식 이야기
01P0000171740,2408144162,풍성한 추석 음식 이야기
01P0000171741,2408144162,풍성한 추석 음식 이야기
01P0000174948,2408145245,요긴하게 쓰이는 정리 꿀템
01P0000175700,2401116056,바이레도 모하비 고스트
01P0000175700,2401116020,바이레도 NEW 리퀴드 립스틱 매트
01P0000175700,2406136233,향기로 채우는 나만의 공간
01P0000175703,2401116056,바이레도 모하비 고스트
01P0000175703,2401116020,바이레도 NEW 리퀴드 립스틱 매트
01P0000185580,2408144162,풍성한 추석 음식 이야기
01P0000185580,2312113527,#빌리저스초이스
01P0000187251,2407139231,소중한 인연을 위한 향기로운 선물
01P0000187669,2407139231,소중한 인연을 위한 향기로운 선물
01P0000187669,2405132775,HOW TO BE HOMEBODY
01P0000194151,2408145245,요긴하게 쓰이는 정리 꿀템
01P0000194566,2408144588,나의 매일을 편안하게 만드는 일상용품
01P0000194579,2408144588,나의 매일을 편안하게 만드는 일상용품
01P0000194582,2408145245,요긴하게 쓰이는 정리 꿀템
01P0000196632,2311108165,SIV x Dot Slash Dash
01P0000201230,2408144162,풍성한 추석 음식 이야기
01P0000206275,2406136233,향기로 채우는 나만의 공간
01P0000206276,2406136233,향기로 채우는 나만의 공간
01P0000206279,2406136233,향기로 채우는 나만의 공간
01P0000206280,2406136233,향기로 채우는 나만의 공간
01P0000206284,2307095929,시뷰티 x 테라사이클
01P0000206284,2406136233,향기로 채우는 나만의 공간
01P0000206284,2401116589,Our Time Together
01P0000207102,2308100781,SIV 레시피 다이어리
01P0000207104,2403123442,LOVE WINS ALL
01P0000207104,2401116589,Our Time Together
01P0000207104,2311108165,SIV x Dot Slash Dash
01P0000207106,2406136233,향기로 채우는 나만의 공간
01P0000207110,2406136233,향기로 채우는 나만의 공간
01P0000207124,2405132775,HOW TO BE HOMEBODY
01P0000207148,2310106940,Guide to Better Desk
01P0000207169,2406136233,향기로 채우는 나만의 공간
01P0000207194,2408143762,딥티크 NEW 레 제썽스 드 단독 론칭
01P0000213686,2008021101,Perfume Advice
01P0000237409,2408144949,#리얼한시마을
01P0000239429,2405131258,변덕스러운 날씨에도 쏟아지는 감성
01P0000239429,2311108165,SIV x Dot Slash Dash
01P0000240930,2401117409,#리얼한시마을
01P0000240931,2408145245,요긴하게 쓰이는 정리 꿀템
01P0000242380,2401117409,#리얼한시마을
01P0000244684,2402119987,#리얼한시마을
01P0000244684,2404128490,JAJU SNACK in Wonderland
01P0000244684,2403121200,#리얼한시마을
01P0000244686,2408144162,풍성한 추석 음식 이야기
01P0000245161,2408144162,풍성한 추석 음식 이야기
01P0000249090,2408144587,가장 기본이 되는 식기 설기
01P0000249091,2408144587,가장 기본이 되는 식기 설기
01P0000249093,2408144587,가장 기본이 되는 식기 설기
01P0000249094,2408144587,가장 기본이 되는 식기 설기
01P0000249094,2312112191,Holiday Dining Table
01P0000249095,2408144587,가장 기본이 되는 식기 설기
01P0000249096,2408144587,가장 기본이 되는 식기 설기
01P0000249098,2408144587,가장 기본이 되는 식기 설기
01P0000249099,2408144587,가장 기본이 되는 식기 설기
01P0000249547,2408145245,요긴하게 쓰이는 정리 꿀템
01P0000253778,2307095929,시뷰티 x 테라사이클
01P0000253778,2401114618,NEW YEAR IN THE FOREST
01P0000253778,2311110864,#리얼한시마을
01P0000255484,2408145245,요긴하게 쓰이는 정리 꿀템
01P0000255484,2311108165,SIV x Dot Slash Dash
01P0000255485,2408145245,요긴하게 쓰이는 정리 꿀템
01P0000255502,2408144162,풍성한 추석 음식 이야기
01P0000257037,2408144588,나의 매일을 편안하게 만드는 일상용품
01P0000257038,2408144588,나의 매일을 편안하게 만드는 일상용품
01P0000257040,2408144588,나의 매일을 편안하게 만드는 일상용품
01P0000257041,2408144588,나의 매일을 편안하게 만드는 일상용품
01P0000257043,2408144588,나의 매일을 편안하게 만드는 일상용품
01P0000257346,2408143541,BYREDO 가을맞이 베스트 퍼퓸 추천
01P0000257348,2408143541,BYREDO 가을맞이 베스트 퍼퓸 추천
01P0000257348,2309102423,아니말리크 오 드 퍼퓸
01P0000257348,2311108165,SIV x Dot Slash Dash
01P0000263475,2408145245,요긴하게 쓰이는 정리 꿀템
01P0000263477,2408144588,나의 매일을 편안하게 만드는 일상용품
01P0000263477,2405132775,HOW TO BE HOMEBODY
01P0000263482,2408144588,나의 매일을 편안하게 만드는 일상용품
01P0000269445,2407139231,소중한 인연을 위한 향기로운 선물
01P0000269445,2401117409,#리얼한시마을
01P0000269447,2407139231,소중한 인연을 위한 향기로운 선물
01P0000269447,2401117409,#리얼한시마을
01P0000269448,2407139231,소중한 인연을 위한 향기로운 선물
01P0000269448,2401117409,#리얼한시마을
01P0000269449,2407139231,소중한 인연을 위한 향기로운 선물
01P0000269735,2408144587,가장 기본이 되는 식기 설기
01P0000269735,2408144162,풍성한 추석 음식 이야기
01P0000269839,2308098452,#MYREALLOOK
01P0000269839,2307095929,시뷰티 x 테라사이클
01P0000269839,2309102101,#MYREALLOOK
01P0000270013,2407139255,S.I.BEAUTY 한가위 선물대전
01P0000270013,2007019237,HIPPIE EFFECT
01P0000270020,2407139255,S.I.BEAUTY 한가위 선물대전
01P0000270020,2308098452,#MYREALLOOK
01P0000270020,2402118149,The Journey of Love
01P0000270020,2309102101,#MYREALLOOK
01P0000270115,2401116589,Our Time Together
01P0000270116,2307095929,시뷰티 x 테라사이클
01P0000270116,2307097946,#리얼한시마을
01P0000270183,2402119987,#리얼한시마을
01P0000270183,2404128490,JAJU SNACK in Wonderland
01P0000270183,2403121200,#리얼한시마을
01P0000270438,2408144588,나의 매일을 편안하게 만드는 일상용품
01P0000271982,2408144587,가장 기본이 되는 식기 설기
01P0000271984,2408144587,가장 기본이 되는 식기 설기
01P0000271986,2408144587,가장 기본이 되는 식기 설기
01P0000272010,2408144162,풍성한 추석 음식 이야기
01P0000279410,2402119987,#리얼한시마을
01P0000279410,2403121200,#리얼한시마을
01P0000284610,2408145245,요긴하게 쓰이는 정리 꿀템
