gift_mgmt_no,gift_goods_dtl_no,gift_limit_qty,vir_vend_no,gift_limit_qty_mng_yn,goods_nm,goods_no,item_nm,gift_goods_nm,gift_limit_rest_qt,item_no,cmps_qty
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2200009660,2200014353,0,VV10000001,N,[사은품] 프래그런스 디퓨저 스틱,2211578995,클리어/F,[사은품] 프래그런스 디퓨저 스틱 클리어/F,0,C732911000200,1
2400017777,2400030011,0,VV10000001,N,[사은품] 퍼퓸드헤어2종샤셰 베르가못 (각10ml),2307840099,클리어/F,[사은품] 퍼퓸드헤어2종샤셰 베르가못 (각10ml) 클리어/F,0,C733911000200,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2200009660,2200014353,0,VV10000001,N,[사은품] 프래그런스 디퓨저 스틱,2211578995,클리어/F,[사은품] 프래그런스 디퓨저 스틱 클리어/F,0,C732911000200,1
2400017525,2400029459,0,VV10000001,N,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml,2303701165,클리어/F,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml 클리어/F,0,6532961000800,1
2400018010,2400030329,0,VV10000001,N,[사은품][딥티크] 벨벳 핸드로션 10ml,2308876919,투명/F,[사은품][딥티크] 벨벳 핸드로션 10ml 투명/F,0,6533932000400,1
2400018010,2400030328,0,VV10000001,N,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml,2303701165,클리어/F,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml 클리어/F,0,6532961000800,1
2400017525,2400029459,0,VV10000001,N,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml,2303701165,클리어/F,[사은품][딥티크] 오 드 퍼퓸 플레르드뽀 2ml 클리어/F,0,6532961000800,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
2400017856,2400030132,0,VV10000001,N,LV 쇼핑백(basic),2303712167,LV 쇼핑백(basic),LV 쇼핑백(basic),0,C7099707008,1
