product_code,deli_cost_form_cd,deli_cost_poli_no,st_amt,deli_cost_unit_qty,city_exp_deli_cost,ret_deli_cost,prepay_permit_form_cd,deli_cost_amt
01P0000116455,10,0000000001,40000,0,0,3000,,3000
01P0000116468,10,0000000001,40000,0,0,3000,,3000
01P0000116805,10,0000000001,40000,0,0,3000,,3000
01P0000116807,10,0000000001,40000,0,0,3000,,3000
01P0000116848,10,0000000001,40000,0,0,3000,,3000
01P0000116913,10,0000000001,40000,0,0,3000,,3000
01P0000124722,10,0000000001,40000,0,0,3000,,3000
01P0000125587,10,0000000001,40000,0,0,3000,,3000
01P0000125589,10,0000000001,40000,0,0,3000,,3000
01P0000126281,10,0000000001,40000,0,0,3000,,3000
01P0000129903,10,0000000001,40000,0,0,3000,,3000
01P0000136148,10,0000000001,40000,0,0,3000,,3000
01P0000166445,10,0000000001,40000,0,0,3000,,3000
01P0000168790,10,0000000001,40000,0,0,3000,,3000
01P0000169903,10,0000000001,40000,0,0,3000,,3000
01P0000171407,10,0000000001,40000,0,0,3000,,3000
01P0000171538,10,0000000001,40000,0,0,3000,,3000
01P0000171554,10,0000000001,40000,0,0,3000,,3000
01P0000171560,10,0000000001,40000,0,0,3000,,3000
01P0000171562,10,0000000001,40000,0,0,3000,,3000
01P0000171564,10,0000000001,40000,0,0,3000,,3000
01P0000171572,10,0000000001,40000,0,0,3000,,3000
01P0000171574,10,0000000001,40000,0,0,3000,,3000
01P0000171576,10,0000000001,40000,0,0,3000,,3000
01P0000171583,10,0000000001,40000,0,0,3000,,3000
01P0000171588,10,0000000001,40000,0,0,3000,,3000
01P0000171603,10,0000000001,40000,0,0,3000,,3000
01P0000171606,10,0000000001,40000,0,0,3000,,3000
01P0000171676,10,0000000001,40000,0,0,3000,,3000
01P0000171698,10,0000000001,40000,0,0,3000,,3000
01P0000171702,10,0000000001,40000,0,0,3000,,3000
01P0000171703,10,0000000001,40000,0,0,3000,,3000
01P0000171711,10,0000000001,40000,0,0,3000,,3000
01P0000171712,10,0000000001,40000,0,0,3000,,3000
01P0000171719,10,0000000001,40000,0,0,3000,,3000
01P0000171721,10,0000000001,40000,0,0,3000,,3000
01P0000171738,10,0000000001,40000,0,0,3000,,3000
